minute,samples_shoulder,shoulder_mean,shoulder_min,shoulder_max,samples_headroll,headroll_mean,headroll_min,headroll_max,samples_mouth,mouth_mean,mouth_min,mouth_max
19,300,0.005391961336135865,-0.011012345552444458,0.025167852640151978,300,-4.6722522791437955,-27.42787948927468,7.980930248331641,300,0.056258015237793266,0.00012560298165873086,0.27335456237437
20,300,0.0003337666392326355,-0.022642403841018677,0.05629923939704895,300,-4.503233999104216,-21.38478679580443,9.15193514907474,300,0.044141119053081115,9.713459427662476e-05,0.31365615542496156
21,300,0.005990814069906871,-0.024117708206176758,0.03289031982421875,300,-5.070789177647379,-27.661427103398086,9.43123538057631,300,0.023088210970421148,3.035214386648384e-05,0.24584995820575645
22,300,0.008854061861832936,-0.015288054943084717,0.05282309651374817,300,-3.3815883367537922,-30.166777391643127,12.12906513645943,300,0.02952886600180349,0.0002465808163744302,0.20884757819869357
23,300,0.01596468150615692,-0.016083508729934692,0.04696035385131836,299,-0.38485043543595154,-21.27513612066247,18.973649218755988,299,0.022557681646981055,0.00022001732547768493,0.22676455945478144
24,300,0.010713462233543396,-0.01186525821685791,0.05876198410987854,274,-4.908074729018073,-21.031760658348166,14.79695224328497,274,0.03322771641646161,0.0001325376194470128,0.3463201430546885
25,300,0.016840633352597556,-0.015508472919464111,0.03367435932159424,298,-7.041685831855279,-19.2009361762558,7.925768674569638,298,0.04255884953535561,0.00029462596768465996,0.27734172580513883
26,300,-0.0015189637740453084,-0.031101763248443604,0.01663386821746826,300,-3.8967966146420165,-20.640618957821374,15.612937413948801,300,0.04995929721249964,0.00015836750407060437,0.30260094172305935
27,300,0.006689801315466563,-0.01954805850982666,0.052574992179870605,300,-7.86716447415286,-20.844530428931346,4.771115935320671,300,0.04157783486871687,0.00015498040509627075,0.260485932711439
28,300,-0.0040233962734540305,-0.024357616901397705,0.04538878798484802,299,-6.551452669356154,-32.76450681484858,3.8562560681657585,299,0.025620603236929083,0.00035154008730508185,0.18552249448967828
29,300,-0.006672108272711436,-0.02969631552696228,0.02461761236190796,297,-4.008466529521375,-51.48761902368694,8.617468388205662,297,0.03916528478973822,0.00012662885714937372,0.25305406169909356
30,300,0.0013777222235997518,-0.029854238033294678,0.04134473204612732,300,-5.094439162491778,-23.36591499947706,11.448449636830013,300,0.04772005664253588,0.00021510188396950937,0.2371398806503832
31,300,0.006081715822219848,-0.025560051202774048,0.04913637042045593,300,-5.834367388846199,-31.256100392408708,9.915082065536208,300,0.05184110501757807,0.00012982439529827348,0.2706387014669538
32,299,0.011495720084295624,-0.021299302577972412,0.058805912733078,295,-5.86911685906409,-25.3263912058359,9.59821992544697,295,0.048188269678360346,0.00014940046674882264,0.3006842345678265
33,300,-0.003536668916543325,-0.0482480525970459,0.028646111488342285,287,-1.777225991736786,-18.747405892384513,18.815110082843518,287,0.03100478094470962,8.365325556601695e-05,0.21778869544312096
34,300,-0.010738739669322967,-0.05083596706390381,0.023101836442947388,300,-2.649522638880238,-16.546284714953764,11.778209874808695,300,0.017706410256551623,0.0001023813762024819,0.1992392665660243
